"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\it\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ja\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\nl\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\no\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pl\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pt-BR\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\pt\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ro\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ru\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\tr\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\uk\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\zh-CN\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\zh-TW\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\package-lock.json", "JSON", 0, 2431, 0, 0, 0, 0, 0, 0, 1, 2432
