Date : 2023-10-10 17:49:42
Directory : c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors
Total : 334 files,  937884 codes, 15860 comments, 6996 blanks, all 960740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Listeners\DisminuyendoCandtidadListener.php                               | PHP        |         15 |         12 |          5 |         32 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Backup.php                                                         | PHP        |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Cliente.php                                                        | PHP        |         25 |          3 |         12 |         40 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Cotizacion.php                                                     | PHP        |         38 |          4 |          9 |         51 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\DatosGeneral.php                                                   | PHP        |         15 |          2 |          7 |         24 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\DetalleCotizacion.php                                              | PHP        |         26 |          3 |          9 |         38 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\DetalleVenta.php                                                   | PHP        |         26 |          2 |          8 |         36 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Empleado.php                                                       | PHP        |         26 |          0 |         10 |         36 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Producto.php                                                       | PHP        |         41 |          8 |         12 |         61 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Proveedor.php                                                      | PHP        |         22 |          3 |          7 |         32 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Ubicacion.php                                                      | PHP        |         15 |          2 |          8 |         25 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\User.php                                                           | PHP        |         26 |         17 |          9 |         52 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\Venta.php                                                          | PHP        |         35 |          4 |         12 |         51 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\papel.php                                                          | PHP        |          8 |          0 |          4 |         12 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Models\rol.php                                                            | PHP        |         13 |          1 |          4 |         18 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Providers\AppServiceProvider.php                                          | PHP        |         15 |         12 |          5 |         32 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Providers\AuthServiceProvider.php                                         | PHP        |         13 |         12 |          6 |         31 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Providers\EventServiceProvider.php                                        | PHP        |         26 |         16 |          7 |         49 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Providers\RouteServiceProvider.php                                        | PHP        |         28 |         17 |          8 |         53 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\bootstrap\app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\composer.json                                                                 | JSON       |         75 |          0 |          1 |         76 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\composer.lock                                                                 | JSON       |      9,819 |          0 |          1 |      9,820 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\config\app.php                                                                | PHP        |         54 |        138 |         35 |        227 |
